time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
3.3258,-0.78065,1.52164,9.58421
3.3357,-0.76678,1.49066,9.65839
3.3457,-0.77956,1.48398,9.69830
3.3760,-0.82372,1.47501,9.68538
3.3765,-0.81668,1.48428,9.69495
3.3767,-0.82040,1.47426,9.68245
3.3841,-0.79640,1.48956,9.64725
3.3930,-0.79453,1.51180,9.57996
3.4036,-0.77570,1.51793,9.49336
3.4133,-0.79257,1.50999,9.54147
3.4242,-0.81189,1.48494,9.64177
3.4342,-0.79955,1.49567,9.71419
3.4442,-0.76096,1.49690,9.78796
3.4536,-0.82771,1.49080,9.67049
3.4676,-0.82419,1.50916,9.48189
3.4837,-0.81143,1.53107,9.49182
3.4865,-0.73889,1.52563,9.60248
3.4933,-0.79474,1.53043,9.68419
3.5040,-0.83554,1.48631,9.66258
3.5132,-0.83238,1.48380,9.67621
3.5229,-0.73820,1.49275,9.65192
3.5332,-0.75407,1.47685,9.65526
3.5432,-0.79274,1.44681,9.61916
3.5529,-0.83665,1.43860,9.53201
3.5627,-0.86035,1.42392,9.59325
3.5725,-0.85558,1.42465,9.72604
3.5825,-0.78004,1.45345,9.75787
3.5926,-0.77278,1.49138,9.72903
3.6241,-0.79085,1.49532,9.62097
3.6242,-0.75964,1.54868,9.49443
3.6243,-0.73247,1.56039,9.44653
3.6315,-0.78896,1.53470,9.48170
3.6405,-0.78322,1.50986,9.63216
3.6501,-0.76219,1.53104,9.66495
3.6612,-0.83794,1.47849,9.67334
3.6709,-0.90189,1.44614,9.67435
3.6815,-0.80414,1.44386,9.75298
3.6912,-0.76077,1.47694,9.74155
3.7012,-0.78854,1.43417,9.73232
3.7106,-0.80275,1.43535,9.75887
3.7214,-0.74388,1.45671,9.78964
3.7311,-0.80980,1.45351,9.68352
3.7466,-0.81102,1.45602,9.59369
3.7497,-0.79837,1.48576,9.50211
3.7592,-0.82161,1.51270,9.38286
3.7686,-0.80074,1.49629,9.35742
3.7792,-0.76588,1.52528,9.46632
3.7894,-0.74672,1.50940,9.55017
3.7996,-0.83490,1.47844,9.58461
3.8095,-0.86809,1.44713,9.67580
3.8193,-0.80112,1.48111,9.81558
3.8350,-0.78419,1.52997,9.80042
3.8392,-0.81247,1.49576,9.70584
