time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
2.3859,4.80065,-8.67944,157.84853
2.3969,4.79399,-8.67893,157.89709
2.4066,4.79026,-8.68015,157.91980
2.4158,4.78916,-8.68306,157.91902
2.4257,4.79022,-8.68116,157.91711
2.4351,4.79612,-8.67901,157.88184
2.4466,4.79605,-8.67508,157.89395
2.4757,4.79535,-8.67433,157.90108
2.4760,4.80138,-8.68275,157.83351
2.4773,4.80385,-8.69506,157.77936
2.4842,4.80469,-8.70572,157.74158
2.4943,4.80974,-8.71200,157.68698
2.5041,4.81474,-8.71684,157.63701
2.5134,4.81525,-8.71595,157.63608
2.5239,4.81389,-8.71696,157.64264
2.5338,4.81339,-8.71946,157.63866
2.5439,4.81226,-8.72079,157.64270
2.5538,4.80840,-8.72009,157.67215
2.5642,4.80857,-8.71858,157.67548
2.5743,4.80906,-8.72017,157.66722
2.5840,4.81485,-8.72458,157.61282
2.6088,4.82122,-8.72840,157.55623
2.6089,4.82425,-8.73040,157.52869
2.6133,4.82681,-8.72710,157.52058
2.6273,4.83528,-8.72077,157.47980
2.6376,4.83532,-8.72391,157.46992
2.6477,4.83339,-8.73134,157.46115
2.6581,4.83404,-8.73855,157.43460
2.6686,4.83576,-8.73940,157.41985
2.6785,4.84045,-8.73563,157.39807
2.6883,4.84777,-8.73251,157.35585
2.7009,4.85416,-8.73421,157.30547
2.7178,4.84759,-8.73718,157.34285
2.7182,4.82990,-8.73863,157.46364
2.7274,4.81364,-8.74165,157.56982
2.7366,4.80503,-8.74454,157.62230
2.7465,4.79847,-8.74871,157.65630
2.7554,4.79142,-8.75284,157.69409
2.7658,4.78676,-8.75456,157.72211
2.7752,4.78778,-8.75784,157.70491
2.7864,4.78976,-8.75991,157.68456
2.7965,4.79011,-8.75959,157.68303
2.8065,4.78666,-8.76045,157.70502
2.8168,4.79029,-8.76243,157.67311
2.8292,4.79597,-8.76534,157.62378
2.8441,4.79423,-8.76968,157.62300
2.8469,4.79105,-8.77810,157.62018
2.8551,4.78685,-8.79159,157.60913
2.8643,4.78993,-8.80060,157.55959
2.8741,4.79238,-8.80157,157.53903
2.8841,4.79722,-8.79597,157.52155
2.8944,4.80420,-8.79115,157.48636
2.9055,4.80309,-8.78562,157.51123
2.9151,4.79214,-8.78408,157.59416
2.9250,4.77735,-8.78365,157.70131
2.9342,4.76226,-8.78274,157.81219
2.9450,4.75455,-8.77932,157.87782
2.9594,4.74832,-8.77735,157.92839
2.9644,4.74374,-8.78106,157.95021
2.9844,4.74405,-8.79171,157.91586
2.9847,4.74677,-8.80920,157.84348
2.9939,4.74897,-8.82759,157.77174
3.0027,4.75404,-8.83930,157.69936
3.0132,4.75973,-8.84288,157.64725
3.0235,4.75820,-8.84131,157.66307
3.0338,4.75226,-8.83948,157.71159
3.0435,4.74845,-8.84245,157.73006
3.0593,4.74496,-8.84839,157.73711
3.0687,4.74983,-8.84815,157.70261
3.0845,4.75442,-8.84283,157.68571
3.1052,4.75721,-8.83824,157.67966
3.1053,4.75850,-8.83269,157.68735
3.1067,4.75311,-8.83491,157.71948
3.1177,4.73650,-8.84192,157.81813
3.1268,4.72268,-8.84788,157.90010
3.1363,4.72647,-8.84710,157.87494
3.1465,4.73682,-8.84202,157.81548
3.1570,4.73859,-8.84050,157.80733
3.1674,4.74088,-8.84133,157.78822
3.1774,4.73995,-8.84610,157.78033
3.1875,4.73448,-8.85106,157.80478
3.1975,4.72992,-8.84563,157.85442
3.2112,4.72737,-8.83735,157.89809
3.2179,4.72338,-8.82757,157.95667
3.2343,4.72754,-8.82159,157.94467
