time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
4.0969,0.00639,-0.00716,-0.00119
4.1107,0.00174,-0.01073,-0.00244
4.1164,-0.00363,-0.00461,-0.00641
4.1299,-0.00598,-0.00217,-0.00697
4.1354,-0.00551,0.00073,-0.00618
4.1444,0.00110,-0.00014,-0.00108
4.1545,0.00813,0.00035,-0.00058
4.1646,0.01579,0.00073,-0.00032
4.1747,0.01477,0.00560,-0.00198
4.1851,0.01152,0.00909,0.00089
4.1953,0.01108,0.00903,0.00003
4.2054,0.01241,0.00284,0.00101
4.2153,0.01465,-0.00731,0.00221
4.2252,0.01494,-0.01967,0.00154
4.2393,0.00600,-0.01147,-0.00015
4.2454,-0.00488,0.00563,0.00046
4.2741,-0.00925,0.01181,0.00046
4.2743,-0.00058,0.00587,0.00243
4.2749,0.01196,-0.00511,0.00305
4.2838,0.01978,-0.01173,-0.00264
4.2938,0.01399,-0.00847,-0.00175
4.3034,0.00513,-0.00172,0.00197
4.3131,-0.00163,0.00012,0.00198
4.3237,-0.00436,0.00725,-0.00011
4.3343,-0.00221,0.01485,0.00349
4.3439,0.00111,0.01733,0.00172
4.3541,0.00696,0.00493,0.00073
4.3693,0.00864,-0.00748,0.00002
4.4003,0.00978,-0.01134,0.00194
4.4005,0.00516,-0.00331,0.00168
4.4005,-0.00247,0.00256,-0.00089
4.4019,-0.00902,0.00737,-0.00078
4.4116,-0.01064,0.00638,0.00024
4.4222,-0.01094,0.00079,0.00143
4.4313,-0.00723,-0.00331,0.00290
4.4425,-0.00397,-0.00290,0.00352
4.4527,0.00139,-0.00031,0.00427
4.4628,0.00708,-0.00548,0.00726
4.4720,0.00882,-0.00549,0.00789
4.4823,0.00819,-0.00311,0.00848
4.4955,0.00629,0.00203,0.01051
4.5019,0.00327,0.01233,0.01068
4.5225,0.00235,0.01016,0.01224
4.5227,0.00192,-0.00093,0.01079
4.5316,0.00993,-0.00346,0.00778
4.5414,0.01736,-0.00162,0.00475
4.5501,0.01526,0.00293,0.00117
4.5611,0.00861,0.00539,0.00024
4.5713,0.00204,0.00021,-0.00189
4.5806,-0.00081,-0.00214,-0.00146
4.5903,0.00348,-0.00703,-0.00156
4.6007,0.00981,0.00034,0.00038
4.6105,0.01355,0.00520,-0.00192
4.6253,0.01346,0.00916,0.00046
4.6305,0.00821,0.00883,0.00035
4.6613,0.00304,0.00583,-0.00078
4.6614,-0.00121,0.00502,0.00046
4.6615,-0.00185,-0.00096,0.00652
4.6688,-0.00136,-0.00291,0.00475
4.6787,-0.00256,0.00426,0.00832
4.6886,-0.00255,0.01410,0.01141
4.6989,-0.00375,0.01784,0.01266
4.7146,0.00238,0.00369,0.01140
4.7242,0.01103,-0.00853,0.00533
4.7344,0.01704,-0.01213,0.00349
4.7440,0.01628,-0.00517,0.00226
4.7543,0.00757,0.00420,0.00354
4.7688,-0.00233,0.01866,0.00328
4.7744,-0.01064,0.02144,0.00159
4.7838,-0.01311,0.02429,0.00180
4.7939,-0.00253,0.02782,0.00168
4.8021,0.00677,0.01547,0.00099
4.8119,0.01620,0.00067,0.00073
4.8233,0.02345,-0.00703,0.00003
4.8329,0.01817,-0.00426,0.00320
4.8434,0.00507,-0.00598,0.00471
4.8577,-0.00583,-0.00017,0.00366
4.8681,-0.00510,0.00439,0.00447
4.8802,-0.00003,0.00751,0.00105
4.8878,0.01073,0.00717,-0.00078
4.9074,0.01427,0.00456,-0.00014
4.9075,0.00365,0.00240,-0.00172
4.9166,-0.00969,0.00240,-0.00272
4.9257,-0.01266,0.00282,-0.00008
4.9355,-0.00511,-0.00024,0.00089
4.9464,0.00716,-0.00571,0.00349
4.9565,0.01474,0.00218,0.00859
4.9670,0.01396,-0.00172,0.00209
4.9771,0.00739,0.00209,0.00182
4.9856,0.00177,-0.00642,-0.00116
4.9953,0.00769,-0.00537,-0.00282
5.0058,0.00877,-0.00690,-0.00298
5.0158,0.00186,0.00623,-0.00040
