id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle
18,10.484803,9.844489,1.531608,0.120749,3.523016,5,1.425263,0.195211,0.199854,1.059170,18.791359
19,11.579432,9.673078,1.592957,0.027153,3.418887,6,1.569369,0.043311,0.083062,0.481657,33.146053
24,12.012490,9.505073,1.810083,0.022254,3.827103,6,1.792304,0.038758,0.060564,0.415168,39.394775
25,12.006782,9.481248,1.853310,0.027036,4.034925,6,1.843879,0.049803,0.064705,0.457671,37.998940
28,9.940270,10.203993,1.101425,0.135265,2.478114,2,0.797510,1.174436,0.874714,2.572028,8.625209
32,10.645812,9.715744,2.020754,0.145647,4.528704,3,1.879808,0.105175,0.089196,0.498012,26.045815
33,10.739065,9.698092,2.027136,0.104980,4.144104,3,1.918920,0.076556,0.073640,0.476980,29.031540
36,9.887869,10.245814,2.558132,0.722453,5.129263,1,1.868910,0.398407,0.163780,0.607893,13.614502
37,9.932034,10.754339,1.801101,0.360402,3.602217,1,1.603365,0.363669,0.208390,0.478688,12.321525
39,10.000000,10.000000,1.529843,0.260047,3.059686,0,1.314570,1.461033,0.452244,1.537863,8.535685
41,9.899336,10.591130,2.243317,0.558882,4.487158,1,1.756236,0.454020,0.193287,0.656634,12.602640
0,11.731412,9.869043,1.576547,0.031860,3.562147,7,1.547504,0.071391,0.108432,0.648449,30.169125
7,10.464169,9.825680,0.934413,0.045880,2.126126,5,0.852487,0.072642,0.339756,0.979477,16.435730
10,12.691641,9.397831,1.953932,0.019818,4.157966,7,1.957602,0.053248,0.059401,0.436093,43.343674
11,11.288358,9.912668,1.686890,0.060987,3.842297,7,1.670174,0.137740,0.127056,0.713091,26.433910
13,10.698637,9.838009,1.440325,0.085063,3.345357,6,1.379889,0.172068,0.201080,1.088602,19.979664
18,10.782852,9.736929,1.502207,0.087696,3.523016,6,1.447975,0.177741,0.186428,0.973682,20.780525
19,12.159431,9.592753,1.585142,0.018168,3.418887,7,1.569325,0.040134,0.080061,0.474936,36.537655
25,12.633938,9.412468,1.850389,0.018664,4.034925,7,1.857012,0.048057,0.062707,0.453958,41.992939
28,9.902080,10.252129,1.087356,0.129247,2.478114,3,0.829422,0.638051,0.732513,2.272382,9.769057
32,11.076980,9.611333,1.955963,0.079800,4.528704,4,1.893360,0.086045,0.079952,0.471957,30.586367
33,11.201000,9.596901,1.976683,0.056648,4.144104,4,1.919278,0.062921,0.066971,0.470722,33.967167
36,10.012496,10.160492,2.290944,0.489687,5.129263,2,1.915494,0.163970,0.105827,0.519151,20.055626
37,10.068493,10.657732,1.741764,0.254571,3.602217,2,1.635327,0.133201,0.130278,0.461541,18.279030
38,10.000000,10.000000,2.135434,0.506675,4.270868,0,1.794118,0.938627,0.243528,1.273574,11.879677
39,9.980525,10.021248,1.514275,0.241505,3.059686,1,1.328827,0.344983,0.284942,1.189263,12.184456
41,10.024714,10.500975,2.082986,0.392299,4.487158,2,1.825791,0.176988,0.120132,0.535567,18.811562
43,10.000000,10.000000,2.178310,0.527226,4.356620,0,2.082609,5.940637,0.317011,0.918845,7.731410
0,12.261669,9.782585,1.569022,0.023617,3.562147,8,1.593392,0.072397,0.103117,0.611101,32.717850
13,11.023561,9.732100,1.425536,0.064324,3.345357,7,1.417091,0.172818,0.191732,1.022709,21.415850
18,11.124938,9.633204,1.488764,0.066018,3.523016,7,1.480292,0.180475,0.180093,0.920425,22.126526
25,13.290141,9.352515,1.852044,0.014001,4.034925,8,1.905113,0.051103,0.061432,0.441322,45.276310
28,9.920683,10.233753,1.065166,0.118600,2.478114,4,0.864325,0.506447,0.651004,2.092705,10.662384
32,11.599753,9.520457,1.930817,0.047871,4.528704,5,1.947766,0.085259,0.075310,0.444304,33.967922
33,11.750206,9.510238,1.953668,0.034033,4.144104,5,1.978539,0.061197,0.062236,0.452914,38.221004
36,10.269343,10.044299,2.096509,0.252975,5.129263,3,2.016891,0.122920,0.083730,0.462620,25.231934
38,10.084130,9.938252,2.066454,0.407771,4.270868,1,1.885530,0.692304,0.200565,1.091982,14.191693
39,10.104836,9.940333,1.467957,0.182578,3.059686,2,1.435350,0.197799,0.198371,0.941486,15.979368
43,9.927061,10.106803,2.175144,0.509801,4.356620,1,2.284127,0.544605,0.129142,0.626827,14.383288
45,10.000000,10.000000,2.506649,0.698143,5.013299,0,2.186901,0.715733,0.156243,0.980096,13.001612
0,12.813568,9.704310,1.574126,0.018675,3.562147,9,1.605993,0.072683,0.101737,0.570909,35.081146
13,11.373368,9.631515,1.423803,0.051129,3.345357,8,1.409333,0.173998,0.194270,0.982165,22.359241
18,11.490265,9.535181,1.487027,0.052480,3.523016,8,1.457190,0.184333,0.187156,0.904080,22.759424
25,13.952317,9.297896,1.862288,0.011310,4.034925,9,1.901191,0.054203,0.063473,0.428987,47.708557
28,9.969122,10.191315,1.044589,0.106809,2.478114,5,0.861733,0.462944,0.638699,2.012718,11.168050
32,12.171769,9.441195,1.936044,0.033112,4.528704,6,1.926746,0.086884,0.077624,0.428638,36.129272
33,12.348497,9.435481,1.961386,0.023480,4.144104,6,1.971300,0.060602,0.062390,0.435931,41.619736
36,10.670989,9.927960,2.055150,0.122067,5.129263,4,2.010660,0.106839,0.078821,0.435867,29.172998
38,10.221310,9.854900,2.024948,0.315285,4.270868,2,1.856696,0.657126,0.202054,1.058017,15.308876
39,10.315668,9.837012,1.457507,0.124120,3.059686,3,1.444804,0.132817,0.164700,0.760396,19.523298
43,10.077649,10.014183,2.207976,0.356870,4.356620,2,2.199247,0.266586,0.101438,0.547823,19.574316
44,10.000000,10.000000,1.539444,0.263321,3.078888,0,1.482036,1.800109,0.398154,1.986952,9.286261
45,10.140188,9.913577,2.408973,0.490757,5.013299,1,2.155587,0.314537,0.113477,0.777827,18.337383
46,10.000000,10.000000,1.012761,0.113965,2.025522,0,0.990662,2.461215,0.739835,1.503536,7.662684
49,10.000000,10.000000,2.607208,0.755282,5.214416,0,2.099818,57.317524,0.414746,1.387377,6.698504
50,10.000000,10.000000,2.128664,0.503468,4.257328,0,1.959697,6.330991,0.348894,0.509098,7.506986
51,10.000000,10.000000,1.891920,0.397707,3.783840,0,1.847722,3.730990,0.341070,0.225388,7.636280
52,10.000000,10.000000,1.968769,0.430673,3.937539,0,1.823044,25.995796,0.459164,1.209841,6.729431
53,10.000000,10.000000,2.669921,0.792053,5.339841,0,2.441621,3.323930,0.218656,0.443307,8.952028
0,13.381484,9.633016,1.579732,0.015395,3.562147,10,1.603658,0.075281,0.103736,0.551418,36.769733
13,11.740058,9.536590,1.421278,0.042207,3.345357,9,1.405747,0.177904,0.197062,0.935607,23.275951
18,11.869881,9.442985,1.481893,0.043457,3.523016,9,1.453368,0.188667,0.189961,0.851476,23.701946
25,14.624083,9.248363,1.868354,0.009551,4.034925,10,1.893916,0.057827,0.065994,0.415998,49.929512
28,10.031820,10.139924,1.025585,0.095999,2.478114,6,0.863483,0.434327,0.625800,1.901477,11.687365
32,12.769684,9.370680,1.933811,0.025159,4.528704,7,1.913152,0.087459,0.078955,0.399680,38.609837
33,12.975507,9.369761,1.963827,0.017700,4.144104,7,1.960297,0.061936,0.063752,0.421437,44.611095
36,11.171416,9.825574,2.035679,0.068727,5.129263,5,1.993431,0.095471,0.075972,0.398921,33.004997
39,10.603594,9.727777,1.453112,0.081180,3.059686,4,1.434219,0.108981,0.152783,0.690100,22.207869
44,9.965523,10.040321,1.536069,0.247852,3.078888,1,1.453694,0.791799,0.326322,1.644262,11.420622
46,9.894125,10.210269,1.012433,0.112276,2.025522,1,0.949681,0.563659,0.579936,1.263124,9.492344
47,10.000000,10.000000,1.517173,0.255757,3.034345,0,1.407367,2.390477,0.457287,2.150317,9.253374
49,9.881557,10.434806,2.605795,0.753185,5.214416,1,2.062295,0.779603,0.179238,0.772393,12.680294
50,9.919900,10.123541,2.123768,0.488917,4.257328,1,1.996076,0.372386,0.141023,0.375308,14.910578
51,9.940018,10.080757,1.890105,0.381384,3.783840,1,1.845008,0.247854,0.136919,0.053390,15.313103
52,9.879785,10.393410,1.968214,0.429031,3.937539,1,1.827036,0.536447,0.192325,0.775482,12.718083
55,10.000000,10.000000,1.684010,0.315099,3.368020,0,1.590803,8997.348633,0.623364,0.860485,6.182672
57,10.000000,10.000000,1.957408,0.425716,3.914817,0,1.828154,9.409766,0.407771,0.658843,7.238636
58,10.000000,10.000000,1.743604,0.337795,3.487208,0,1.697360,7.221728,0.431773,0.020976,7.191260
0,13.959655,9.567578,1.583255,0.013130,3.562147,11,1.606953,0.078352,0.105294,0.534860,38.556274
13,12.118153,9.447223,1.418961,0.035914,3.345357,10,1.404384,0.183678,0.200133,0.902267,24.159849
18,12.260664,9.356389,1.477698,0.037071,3.523016,10,1.448280,0.196422,0.194525,0.822146,24.479698
28,10.106954,10.081991,1.008943,0.086355,2.478114,7,0.869652,0.414075,0.610784,1.813995,12.237582
32,13.385651,9.307353,1.929750,0.020216,4.528704,8,1.902966,0.091547,0.081541,0.385075,40.613255
33,13.619146,9.310899,1.963129,0.014198,4.144104,8,1.954289,0.064933,0.065623,0.413928,47.318783
36,11.736666,9.737536,2.020630,0.044288,5.129263,6,1.986053,0.093387,0.075723,0.382491,36.200077
39,10.954224,9.621399,1.447039,0.055097,3.059686,5,1.411164,0.092047,0.145895,0.636947,24.719837
44,10.012630,10.000530,1.525391,0.215818,3.078888,2,1.440969,0.494014,0.282435,1.408977,13.546206
47,9.939943,10.080856,1.512650,0.245252,3.034345,1,1.415933,1.206211,0.385007,1.835474,10.966549
49,9.996702,10.351079,2.447958,0.551694,5.214416,2,2.036216,0.350124,0.132348,0.627518,17.628725
50,10.095487,10.022835,2.077392,0.312558,4.257328,2,1.997975,0.168309,0.098770,0.360837,21.472305
51,10.132684,9.976543,1.872284,0.230843,3.783840,2,1.841538,0.099492,0.090431,0.159137,22.734707
52,10.006786,10.304991,1.930532,0.315461,3.937539,2,1.822195,0.224312,0.134119,0.642858,18.157999
55,9.986424,10.955818,1.684010,0.315099,3.368020,1,1.603263,0.446548,0.225877,0.590055,12.198366
56,10.000000,10.000000,1.788707,0.355497,3.577414,0,1.622234,1.054140,0.298598,0.749451,10.210181
58,9.894468,10.208549,1.742910,0.332725,3.487208,1,1.712884,0.269137,0.163031,0.171642,14.402585
59,10.000000,10.000000,1.811012,0.364418,3.622024,0,1.792202,4.448052,0.369175,0.242474,7.686347
60,10.000000,10.000000,1.894929,0.398973,3.789859,0,1.754822,0.773855,0.572827,1.567272,6.224626
62,10.000000,10.000000,1.853922,0.381892,3.707845,0,1.759491,20.536982,0.468624,0.501571,6.863286
63,10.000000,10.000000,1.868090,0.387751,3.736180,0,1.789242,7.541316,0.405732,0.342114,7.336232
64,10.000000,10.000000,1.742833,0.337496,3.485667,0,1.620538,0.688256,0.647262,1.476217,6.055703
0,14.544342,9.507180,1.586222,0.011487,3.562147,12,1.593433,0.080439,0.108372,0.524779,40.222118
13,12.503761,9.363127,1.417090,0.031304,3.345357,11,1.390518,0.186656,0.205244,0.872929,25.031343
18,12.657366,9.274971,1.474000,0.032414,3.523016,11,1.429625,0.200716,0.201087,0.794008,25.240095
28,10.193371,10.019248,0.995031,0.077871,2.478114,8,0.868230,0.390288,0.602197,1.733804,12.808860
32,14.010711,9.249617,1.925460,0.016979,4.528704,9,1.865702,0.093645,0.085668,0.371320,42.371002
36,12.339600,9.660701,2.010967,0.031926,5.129263,7,1.943116,0.090895,0.078015,0.368343,38.961838
44,10.116595,9.929089,1.510190,0.177117,3.078888,3,1.403556,0.354933,0.261639,1.258255,15.521155
47,9.940281,10.080459,1.504530,0.224729,3.034345,2,1.379045,0.791719,0.355453,1.628997,12.489808
49,10.203777,10.240127,2.282164,0.343820,5.214416,3,2.002308,0.229464,0.113328,0.545986,22.237150
50,10.380870,9.907164,2.040730,0.168819,4.257328,3,1.938401,0.106900,0.084672,0.352414,27.274023
51,10.447212,9.860146,1.856663,0.113649,3.783840,3,1.785260,0.057685,0.074041,0.214495,29.626078
52,10.235524,10.190601,1.887949,0.192351,3.937539,3,1.763475,0.137207,0.114273,0.580661,22.973066
55,10.099710,10.867640,1.664539,0.239387,3.368020,2,1.546407,0.155962,0.155584,0.522395,17.744314
56,10.044948,9.962175,1.765892,0.307214,3.577414,1,1.554137,0.343590,0.215470,0.597507,14.292253
58,10.064749,10.107640,1.732376,0.216060,3.487208,2,1.654413,0.098861,0.111001,0.244582,21.263407
60,10.089247,9.935499,1.867256,0.320723,3.789859,1,1.652162,0.631824,0.243912,0.979962,11.703910
61,10.000000,10.000000,1.222345,0.166014,2.444689,0,0.965711,0.255738,1.138379,1.869813,6.057621
62,9.879505,10.372614,1.853501,0.380189,3.707845,1,1.663438,0.403519,0.203314,0.375819,13.084164
63,9.898062,10.192667,1.866756,0.381193,3.736180,1,1.694320,0.313402,0.177395,0.317804,14.129170
64,10.084511,9.938028,1.719624,0.273839,3.485667,1,1.528984,0.540711,0.263489,0.949044,11.511786
0,15.136461,9.451359,1.587013,0.010228,3.562147,13,1.586967,0.084558,0.111826,0.523054,41.647011
13,12.897199,9.283951,1.414067,0.027745,3.345357,12,1.385829,0.193878,0.209874,0.849285,25.848696
18,13.060275,9.198347,1.469075,0.028823,3.523016,12,1.423964,0.209214,0.206141,0.764961,26.028894
28,10.291941,9.952084,0.982566,0.070323,2.478114,9,0.869603,0.380158,0.596188,1.668254,13.335557
32,14.641050,9.196412,1.917296,0.014668,4.528704,10,1.846721,0.097926,0.089265,0.358833,44.101963
44,10.267745,9.841515,1.487851,0.140307,3.078888,4,1.397620,0.301292,0.247408,1.167757,17.280127
47,9.984986,10.041936,1.489543,0.198080,3.034345,3,1.370318,0.632180,0.334475,1.481154,13.876225
49,10.507139,10.121040,2.161510,0.201283,5.214416,4,2.001567,0.188741,0.103763,0.498134,26.265715
50,10.771600,9.794564,1.992560,0.090048,4.257328,4,1.923509,0.085696,0.077369,0.350568,32.449013
51,10.885127,9.751014,1.819153,0.054316,3.783840,4,1.765163,0.043358,0.065924,0.254669,35.863136
