id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle,ang
134,12.459855,9.698589,0.932551,0.000011,1.828234,6,0.934393,0.000001,0.000000,0.381733,48.624612,89.877343
141,11.536520,9.717240,0.865648,0.000344,1.702389,4,0.867899,0.000001,0.000000,0.346689,47.482915,89.836788
134,13.445342,9.695323,0.934226,0.000001,1.828234,8,0.936450,0.000001,0.000000,0.403156,51.690302,89.856680
141,12.461156,9.698890,0.867841,0.000009,1.702389,7,0.872761,0.000001,0.000000,0.389247,53.216669,89.758860
141,13.419165,9.689518,0.872207,0.000001,1.702389,8,0.876994,0.000001,0.000000,0.400043,54.738540,89.680148
141,13.761449,9.615141,0.874220,0.000002,1.702389,10,0.879779,0.000001,0.000000,0.416339,57.450817,89.783300
141,14.016284,9.549796,0.876907,0.000004,1.702389,11,0.879392,0.000001,0.000000,0.422051,58.626503,89.801963
145,10.000000,10.000000,0.437395,0.021257,0.874791,1,0.451215,0.000001,0.000000,1.163311,12.704441,90.149421
154,10.000000,10.000000,0.517979,0.029811,1.035959,1,0.532572,0.000001,0.000000,1.569761,12.999953,89.772247
167,10.000000,10.000000,0.599847,0.039980,1.199693,1,0.614239,0.000001,0.000000,0.729552,23.245024,89.741251
168,10.000000,10.000000,0.528305,0.031012,1.056611,1,0.541675,0.000001,0.000000,0.637824,20.075186,89.850727
172,10.000000,10.000000,0.611640,0.041567,1.223280,1,0.626068,0.000001,0.000000,0.723994,23.169436,89.720067
173,10.000000,10.000000,0.497353,0.027484,0.994706,1,0.511096,0.000001,0.000000,0.382003,23.905531,89.488073
174,10.000000,10.000000,0.561386,0.035017,1.122771,1,0.578022,0.000001,0.000000,0.496025,24.920541,89.492398
141,15.001024,9.546949,0.878841,0.000001,1.702389,12,0.884544,0.000001,0.000000,0.424114,59.635516,89.766661
145,10.276440,9.883996,0.447130,0.006324,0.874791,2,0.455422,0.000001,0.000000,1.082479,14.035061,90.154820
167,10.277126,9.883909,0.609990,0.011846,1.199693,2,0.620154,0.000001,0.000000,0.704402,25.382829,89.663788
168,10.277048,9.883946,0.537727,0.009195,1.056611,2,0.546866,0.000001,0.000000,0.611475,21.903821,89.673738
172,10.277152,9.883898,0.621809,0.012314,1.223280,2,0.633179,0.000001,0.000000,0.698231,25.256477,89.597818
174,10.276624,9.883959,0.573106,0.010406,1.122771,2,0.583134,0.000001,0.000000,0.486179,27.286361,89.326305
167,10.780685,9.777133,0.618322,0.002150,1.199693,3,0.622147,0.000001,0.000000,0.676029,27.310801,89.620495
172,10.780486,9.777132,0.631129,0.002239,1.223280,3,0.636067,0.000001,0.000000,0.668815,27.124443,89.543518
173,10.276809,9.883936,0.507036,0.008159,0.994706,3,0.516978,0.000001,0.000000,0.365008,28.569507,89.214969
175,10.000000,10.000000,0.477778,0.025364,0.955557,3,0.494545,0.000001,0.000000,2.048446,10.665261,89.847628
141,14.899110,10.344564,0.879035,0.000001,1.702389,14,0.890082,0.000001,0.000000,0.418338,61.396064,89.725409
149,10.000000,10.000000,0.381735,0.016191,0.763470,4,0.400628,0.000001,0.000000,1.075096,12.509199,90.139377
154,10.276784,9.883964,0.528261,0.008852,1.035959,4,0.546006,0.000001,0.000000,1.301079,16.181478,89.687099
161,10.000000,10.000000,0.346183,0.013316,0.692365,4,0.361890,0.000001,0.000000,1.068128,10.711403,90.165527
167,11.531548,9.716519,0.621835,0.000176,1.199693,4,0.624469,0.000001,0.000000,0.646356,29.046580,89.564405
172,11.530782,9.716441,0.635664,0.000185,1.223280,4,0.638830,0.000001,0.000000,0.637817,28.790777,89.466380
173,10.779487,9.777077,0.515183,0.001488,0.994706,4,0.517839,0.000001,0.000000,0.344116,30.578292,89.127368
174,10.779548,9.777129,0.581324,0.001893,1.122771,4,0.586532,0.000001,0.000000,0.444852,31.335191,89.153427
177,10.000000,10.000000,0.547817,0.033345,1.095635,1,0.570308,0.000001,0.000000,0.668917,23.067720,89.403789
178,10.000000,10.000000,0.544806,0.032979,1.089612,1,0.573702,0.000001,0.000000,0.496372,26.751649,89.608449
179,10.000000,10.000000,0.467294,0.024263,0.934589,1,0.489535,0.000001,0.000000,0.397161,22.670348,88.931607
149,10.274007,9.884226,0.395017,0.004884,0.763470,5,0.400308,0.000001,0.000000,1.011446,13.385406,90.109516
167,12.454024,9.697667,0.624393,0.000005,1.199693,5,0.623591,0.000001,0.000000,0.617859,30.633987,89.524042
