id,z,znoise,tau
164,1.504280,0.086394,-7.659536
165,1.541128,0.179748,-8.998080
166,1.449970,0.326968,-7.967092
161,2.151444,1.514887,-6.291590
163,1.586606,0.399603,7.493843
167,1.514027,0.213221,-2.375899
168,1.745714,0.188490,-2.536726
169,1.770737,0.434782,-2.503023
170,1.563480,0.089439,-2.421702
171,1.884311,0.992914,-2.542729
172,1.494247,0.117119,-2.369274
161,2.140261,1.333690,-9.838410
167,1.516551,0.393305,-9.014132
168,1.748327,0.183009,-5.448197
169,1.775814,0.509755,-4.508798
170,1.568036,0.240697,-8.323283
171,1.895334,0.815952,-3.894941
172,1.494689,0.347052,-10.406595
161,2.128458,1.191161,-25.555768
168,1.741357,0.310571,5.737204
169,1.769544,0.542537,60.865489
171,1.883141,0.762027,-9.507300
173,1.951052,0.321510,-2.754993
174,1.728471,0.255466,-2.563144
176,1.607547,0.568745,-2.470958
161,2.128671,1.083525,27.708300
171,1.880927,0.729999,9.345516
173,1.968850,0.099314,-5.450633
174,1.741383,0.401894,-6.184529
175,2.104782,5.520215,-3.050571
176,1.628869,0.571380,-7.441235
161,2.119038,1.017419,7.475242
173,1.958724,0.240624,9.118112
174,1.732969,0.452276,3.746953
175,2.082139,4.055894,-3.694532
176,1.622246,0.576477,2.083569
161,2.102909,0.963231,3.446286
175,2.056070,3.344620,-4.535370
177,1.748432,1.613617,-2.551361
178,1.734688,0.573741,-2.614763
179,2.032425,0.454489,-2.836581
180,1.825327,1.824498,-2.589130
175,2.060560,2.887713,-5.887415
177,1.781666,1.107905,-5.336537
178,1.764874,0.572573,-7.463846
179,2.064464,0.482109,-5.243114
180,1.860314,1.218187,-4.720668
175,2.053712,2.583766,-8.077977
177,1.782641,0.935949,8.472522
178,1.765876,0.568185,2.352891
179,2.066105,0.487350,23.746131
180,1.857250,1.006988,73.857403
182,1.986665,2.355664,-2.776088
183,1.962592,0.743251,-2.856046
184,2.007557,1.975390,-2.804411
185,2.097553,2.475157,-2.860759
175,2.061894,2.362087,-12.672211
182,2.012306,1.472024,-4.843865
183,1.986949,0.646072,-6.551624
184,2.033482,1.262186,-4.908314
185,2.127679,1.530586,-4.642488
175,2.033118,2.193949,-25.922376
182,1.962018,1.156220,-66.079715
183,1.942323,0.591505,4.675260
184,1.981122,1.005101,-86.980945
185,2.070653,1.186681,-16.780241
186,2.347252,0.505844,-3.137974
187,1.936903,0.832830,-2.793154
188,2.456878,1.212457,-3.192996
189,1.948021,1.162239,-2.785110
190,2.042545,0.023303,-2.898609
175,2.022059,2.048446,389.453185
182,1.950623,0.978505,2.433067
184,1.968345,0.849415,2.354505
185,2.063881,0.999731,4.672651
186,2.378179,0.388907,-5.133017
187,1.961566,0.617295,-6.057907
188,2.494671,0.717337,-4.702284
189,1.978747,0.778915,-5.618644
190,2.063529,0.185409,-6.293353
175,2.010241,1.923345,22.725356
186,2.389867,0.321382,-34.552737
188,2.507484,0.518330,-10.080974
189,1.988871,0.626207,9.601809
190,2.067892,0.231205,4.984386
192,2.314450,2.047082,-3.091301
193,2.289477,2.894491,-3.003835
