id,x,y,z
672,10.797399,36.648216,-0.815079
674,19.612471,6.628756,3.236262
673,8.350337,5.391838,-1.317213
676,15.384591,0.267847,-1.068463
680,13.203812,32.895401,-0.855394
679,13.842652,27.743410,-1.365264
678,33.712146,-10.348993,-4.125363
682,18.481109,35.589869,-0.729961
683,23.699530,7.012546,-2.889777
681,14.988198,-3.518422,0.846695
684,3.350409,-1.737946,-4.367814
688,21.481946,22.343512,-1.453571
692,9.571027,18.215700,-2.160918
691,4.860704,10.116848,-2.748730
696,13.202895,21.878329,-1.779058
695,1.478555,21.378864,-1.438101
693,7.793183,-2.334529,-4.207971
694,-3.272621,3.550993,0.194055
700,6.244147,14.676887,-2.231483
699,4.277820,-6.823029,-3.098696
702,13.240464,0.099082,2.640962
703,8.900442,9.306419,-1.901535
721,15.454832,8.762175,-1.555662
723,11.696718,14.298858,-0.750442
719,7.795411,5.000858,-1.501333
727,9.427329,18.954761,-1.067250
724,6.158885,18.565093,1.761666
726,-0.031031,6.892592,-1.580047
717,0.502447,14.217603,-0.632748
725,-0.244472,10.596077,-1.548371
740,-2.548624,14.453785,-1.560894
739,-3.164107,20.673860,-3.561651
742,9.585015,16.211614,-1.066152
743,-3.456332,17.822765,-2.497206
748,-0.417867,18.686755,-2.270033
738,0.167558,22.072818,-5.737464
746,5.358299,23.187860,-4.700873
751,-1.963032,25.278312,-2.782784
753,13.136206,17.020941,-2.941887
750,-1.931229,11.523828,-2.573971
752,1.621873,25.393552,-3.197354
749,3.733309,13.486374,-1.692124
756,11.126409,21.184020,-2.897068
755,7.440311,11.559033,-1.987402
757,8.783978,21.366665,-2.965386
758,5.195591,20.709220,-2.754114
759,2.823299,20.931485,-2.807351
765,1.962927,18.074572,-2.707202
764,2.609148,15.378904,-2.731974
762,7.883714,14.764338,-2.702614
768,4.425516,15.463328,-2.885408
772,6.098651,8.790130,-2.980909
770,2.168622,6.538609,-2.801957
773,5.876399,6.831807,-2.937744
774,5.458331,12.285487,-3.073735
775,2.833951,10.608796,-3.052167
776,4.754104,8.205209,-2.967445
777,3.682678,5.585626,-2.936293
779,11.221531,3.562288,-3.286460
778,9.482789,3.175743,-2.914721
781,5.303658,4.064498,-2.971232
784,3.940586,11.694149,-3.045726
785,9.536706,9.849795,-3.154661
782,11.091821,2.179337,-2.840468
789,7.361355,6.529422,-3.237292
787,3.975833,0.927761,-3.210653
792,7.097287,2.755360,-3.093245
795,6.913172,5.073473,-3.239677
799,6.584988,3.948391,-3.311726
801,8.578278,3.637011,-3.573377
815,7.450705,4.548664,-3.447675
811,8.819346,6.391957,-2.710241
827,7.555552,6.059790,-3.061924
831,9.364329,6.087887,-2.828324
830,8.308439,6.648215,-2.944112
829,8.444534,5.860445,-2.558510
840,7.189996,4.232825,-3.107998
842,8.190382,4.965302,-3.532306
847,9.114939,6.906861,-2.989106
849,8.008872,6.506106,-3.228437
850,8.904725,4.615353,-2.897522
857,7.991481,7.049486,-3.351438
846,7.908046,5.646384,-3.126014
854,7.259329,5.088671,-3.356994
853,8.749481,6.372637,-3.331238
860,7.638499,6.691729,-3.365671
856,9.006507,5.764544,-3.521138
861,7.393291,5.504708,-3.365499
862,7.541002,4.464634,-3.008359
869,8.342830,5.525228,-2.978462
